ID,Name,Parameter,Language,Frequency,Confidence,References
6-940-179-3,alifie,ointment,Romanian,,,
6-950-179-1,sa_pun,soap,Romanian,,,
6-960-179-1,oglinda_,mirror,Romanian,,,
7-110-179-1,locui,"dwell, live",Romanian,,,
7-110-179-3,s_edea (tr__i),"dwell, live",Romanian,,,
7-120-179-1,casa_,house,Romanian,,,
7-130-179-1,coliba_,hut,Romanian,,,
7-130-179-3,bordeiu,hut,Romanian,,,
7-140-179-1,cort,tent,Romanian,,,
7-140-179-3,s_atr__,tent,Romanian,,,
7-150-179-1,curte,"yard, court",Romanian,,,
7-210-179-1,odaie,room,Romanian,,,
7-210-179-3,camera_,room,Romanian,,,
7-220-179-1,us___,"door, gate",Romanian,,,
7-220-179-3,poarta_,"door, gate",Romanian,,,
7-230-179-1,broasca_,lock (noun),Romanian,,,
7-240-179-1,cheie,key,Romanian,,,
7-250-179-1,fereastra_ (geam),window,Romanian,,,
7-260-179-1,pardoseala_,floor,Romanian,,,
7-260-179-3,dus_umea,floor,Romanian,,,
7-270-179-1,zid,wall,Romanian,,,
7-270-179-3,pa_rete,wall,Romanian,,,
7-310-179-1,vatra_,fireplace,Romanian,,,
7-310-179-3,ca_min,fireplace,Romanian,,,
7-320-179-1,soba_,stove,Romanian,,,
7-330-179-1,cos_,chimney,Romanian,,,
7-420-179-1,pat,bed,Romanian,,,
7-430-179-1,scaun,chair,Romanian,,,
7-440-179-1,masa_,table,Romanian,,,
7-450-179-1,lampa_,"lamp, torch",Romanian,,,
7-460-179-1,lumi_nare,candle,Romanian,,,
8-110-179-1,agricultor,farmer,Romanian,,,
8-110-179-3,t___ran,farmer,Romanian,,,
8-120-179-1,ci_mp,field (for cultivation),Romanian,,,
8-130-179-1,gra_din__,garden,Romanian,,,
8-150-179-1,cultiva,"cultivate, till",Romanian,,,
8-210-179-1,ara,plow,Romanian,,,
8-210-179-3,plug,plow,Romanian,,,
8-212-179-1,brazda_,furrow,Romanian,,,
8-220-179-1,sa_pa,dig,Romanian,,,
8-230-179-1,lopata_,spade,Romanian,,,
8-240-179-1,lopata_,shovel,Romanian,,,
8-250-179-1,sapa_,hoe,Romanian,,,
8-260-179-1,furca_,fork,Romanian,,,
8-270-179-1,grebla_,rake,Romanian,,,
8-310-179-1,sema_na,sow,Romanian,,,
8-310-179-3,sa_mîn__a-,sow,Romanian,,,
8-320-179-1,secera,"mow, reap",Romanian,,,
8-320-179-3,cosi,"mow, reap",Romanian,,,
8-330-179-1,secere,"sickle, scythe",Romanian,,,
8-330-179-3,coasa_,"sickle, scythe",Romanian,,,
8-340-179-1,treera,thresh,Romanian,,,
8-350-179-1,arie,threshing-floor,Romanian,,,
8-410-179-1,seceris_,"crop, harvest",Romanian,,,
8-410-179-3,recolta_,"crop, harvest",Romanian,,,
8-420-179-1,gri_ne,"grain (barley, oats etc)",Romanian,,,
8-430-179-1,gri_u,wheat,Romanian,,,
8-440-179-1,orz,barley,Romanian,,,
8-450-179-1,secara_,rye,Romanian,,,
8-460-179-1,ova_s,oats,Romanian,,,
8-470-179-1,porumb,"maize, corn",Romanian,,,
8-480-179-1,orez,rice,Romanian,,,
8-510-179-1,iarba_,grass,Romanian,,,
8-520-179-1,fi_n,hay,Romanian,,,
8-530-179-1,planta_,plant (noun),Romanian,,,
8-530-179-3,iarba_,plant (noun),Romanian,,,
8-540-179-1,ra_d__cin__,root,Romanian,,,
8-550-179-1,ramura_,branch,Romanian,,,
8-550-179-3,craca_,branch,Romanian,,,
8-560-179-1,frunza_ (foaie),leaf,Romanian,,,
8-570-179-1,floare,flower,Romanian,,,
8-610-179-1,stejar,oak,Romanian,,,
8-620-179-1,fag,beech,Romanian,,,
8-630-179-1,mesteaca_n,birch,Romanian,,,
8-640-179-1,pin,pine,Romanian,,,
8-650-179-1,brad,fir,Romanian,,,
8-660-179-1,ghinda_,acorn,Romanian,,,
8-670-179-1,vit_a,vine,Romanian,,,
8-680-179-1,tutun,tobacco,Romanian,,,
8-690-179-1,bea tutun,smoke (tobacco),Romanian,,,
9-110-179-1,face,"do, make",Romanian,,,
9-120-179-1,lucru,work,Romanian,,,
9-120-179-3,munca_,work,Romanian,,,
9-120-179-5,opera_,work,Romanian,,,
9-140-179-1,i_ncovoia,bend,Romanian,,,
9-140-179-3,pleca,bend,Romanian,,,
9-150-179-1,i_ndoi,fold,Romanian,,,
9-160-179-1,lega,"tie, bind",Romanian,,,
9-180-179-1,lant_,chain,Romanian,,,
9-190-179-1,fri_nghie,"rope, cord",Romanian,,,
9-190-179-3,funie,"rope, cord",Romanian,,,
9-190-179-5,s_nur,"rope, cord",Romanian,,,
9-192-179-1,nod,knot (noun),Romanian,,,
9-210-179-1,lovi,"strike (hit, beat)",Romanian,,,
9-210-179-3,bate,"strike (hit, beat)",Romanian,,,
9-220-179-1,ta_ia,cut,Romanian,,,
9-230-179-1,cut_it,knife,Romanian,,,
9-240-179-1,foarfeci,"scissors, shears",Romanian,,,
9-250-179-1,topor,ax,Romanian,,,
9-250-179-3,secure,ax,Romanian,,,
9-260-179-1,sparge,break,Romanian,,,
9-260-179-3,fri_nge (rupe),break,Romanian,,,
9-270-179-1,despica,split,Romanian,,,
9-280-179-1,rupe,tear,Romanian,,,
