ID,Name,Parameter,Language,Frequency,Confidence,References
5-360-131-1,czészealy,saucer,Hungarian,,,
5-370-131-1,kanál,spoon,Hungarian,,,
5-380-131-1,kés,knife (2),Hungarian,,,
5-390-131-1,villa,fork (2),Hungarian,,,
5-391-131-1,(harapó)fogó,tongs,Hungarian,,,
5-410-131-1,étkezés ~ étel,meal (a),Hungarian,,,
5-420-131-1,reggeli,breakfast,Hungarian,,,
5-420-131-3,tízórai,breakfast,Hungarian,,,
5-430-131-1,[löncz],lunch,Hungarian,,,
5-430-131-3,étkezés,lunch,Hungarian,,,
5-440-131-1,ebéd,dinner,Hungarian,,,
5-450-131-1,vaczora,supper,Hungarian,,,
5-460-131-1,hámoz,peel,Hungarian,,,
5-470-131-1,sz_r,"sieve, strain",Hungarian,,,
5-470-131-3,átsz_r,"sieve, strain",Hungarian,,,
5-480-131-1,levakar,scrape,Hungarian,,,
5-490-131-1,kever,"stir, mix",Hungarian,,,
5-490-131-3,vegyít,"stir, mix",Hungarian,,,
5-510-131-1,kenyér,bread,Hungarian,,,
5-530-131-1,tészta,dough,Hungarian,,,
5-540-131-1,dagaszt,knead,Hungarian,,,
5-540-131-3,gyúr,knead,Hungarian,,,
5-550-131-1,liszt,"meal, flour",Hungarian,,,
5-560-131-1,_röl,"crush, grind",Hungarian,,,
5-560-131-3,darál,"crush, grind",Hungarian,,,
5-570-131-1,malom,mill,Hungarian,,,
5-580-131-1,mozsár,mortar (2),Hungarian,,,
5-590-131-1,mozsártör_,pestle,Hungarian,,,
5-610-131-1,hús,meat,Hungarian,,,
5-630-131-1,kolbász(féleség),sausage,Hungarian,,,
5-630-131-3,hurka,sausage,Hungarian,,,
5-640-131-1,leves,"soup, broth",Hungarian,,,
5-650-131-1,zöldségfélék,vegetables,Hungarian,,,
5-660-131-1,bab,bean,Hungarian,,,
5-660-131-3,paszuly,bean,Hungarian,,,
5-700-131-1,burgonya,potato,Hungarian,,,
5-700-131-3,krumpli,potato,Hungarian,,,
5-710-131-1,gyümölcz,fruit,Hungarian,,,
5-712-131-1,köteg,bunch,Hungarian,,,
5-750-131-1,füge,fig,Hungarian,,,
5-760-131-1,sz_l_,grape,Hungarian,,,
5-770-131-1,mogyoró,nut,Hungarian,,,
5-780-131-1,olayfa,olive,Hungarian,,,
